year,nation1,nation2,alliance,trade
1950,2,20,1,1
1950,2,40,1,1
1950,2,41,1,1
1950,2,42,1,1
1950,2,70,1,1
1950,2,90,1,1
1950,2,91,1,1
1950,2,92,1,1
1950,2,93,1,1
1950,2,94,1,1
1950,2,95,1,1
1950,2,100,1,1
1950,2,101,1,1
1950,2,130,1,1
1950,2,135,1,1
1950,2,140,1,1
1950,2,145,1,1
1950,2,150,1,1
1950,2,155,1,1
1950,2,160,1,1
1950,2,165,1,1
1950,2,200,1,1
1950,2,205,0,1
1950,2,210,1,1
1950,2,211,1,1
1950,2,212,1,1
1950,2,220,1,1
1950,2,225,0,1
1950,2,230,0,1
1950,2,235,1,1
1950,2,290,0,1
1950,2,310,0,1
1950,2,315,0,1
1950,2,325,1,1
1950,2,345,0,1
1950,2,350,0,1
1950,2,355,0,1
1950,2,360,0,1
1950,2,365,0,1
1950,2,375,0,1
1950,2,380,0,1
1950,2,385,1,1
1950,2,390,1,1
1950,2,395,1,1
1950,2,530,0,1
1950,2,560,0,1
1950,2,630,0,1
1950,2,640,0,1
1950,2,645,0,1
1950,2,651,0,1
1950,2,652,0,1
1950,2,660,0,1
1950,2,666,0,1
1950,2,670,0,1
1950,2,710,0,1
1950,2,713,0,1
1950,2,732,0,1
1950,2,750,0,1
1950,2,770,0,1
1950,2,775,0,1
1950,2,780,0,1
1950,2,800,0,1
1950,2,840,0,1
1950,2,850,0,1
1950,2,900,0,1
1950,2,920,0,1
1950,20,40,0,1
1950,20,41,0,1
1950,20,42,0,1
1950,20,70,0,1
1950,20,90,0,1
1950,20,91,0,1
1950,20,92,0,1
1950,20,93,0,1
1950,20,94,0,1
1950,20,95,0,1
1950,20,100,0,1
1950,20,101,0,1
1950,20,130,0,1
1950,20,135,0,1
1950,20,140,0,1
1950,20,145,0,1
1950,20,150,0,1
1950,20,155,0,1
1950,20,160,0,1
1950,20,165,0,1
1950,20,200,1,1
1950,20,205,0,1
1950,20,210,1,1
1950,20,211,1,1
1950,20,212,1,1
1950,20,220,1,1
1950,20,225,0,1
1950,20,230,0,1
1950,20,235,1,1
1950,20,315,0,1
1950,20,325,1,1
1950,20,345,0,1
1950,20,350,0,1
1950,20,380,0,1
1950,20,385,1,1
1950,20,390,1,1
1950,20,395,1,1
1950,20,560,0,1
1950,20,640,0,1
1950,20,645,0,1
1950,20,651,0,1
1950,20,652,0,1
1950,20,660,0,1
1950,20,666,0,1
1950,20,670,0,1
1950,20,710,0,1
1950,20,732,0,1
1950,20,750,0,1
1950,20,770,0,1
1950,20,780,0,1
1950,20,800,0,1
1950,20,840,0,1
1950,20,850,0,1
1950,20,900,0,1
1950,20,920,0,1
1950,40,41,1,1
1950,40,42,1,1
1950,40,70,1,1
1950,40,90,1,0
1950,40,91,1,1
1950,40,92,1,1
1950,40,93,1,1
1950,40,94,1,0
1950,40,95,1,1
1950,40,100,1,0
1950,40,101,1,1
1950,40,130,1,1
1950,40,135,1,0
1950,40,140,1,0
1950,40,145,1,0
1950,40,150,1,1
1950,40,155,1,1
1950,40,160,1,0
1950,40,165,1,1
1950,40,200,0,1
1950,40,205,0,1
1950,40,210,0,1
1950,40,211,0,1
1950,40,212,0,1
1950,40,220,0,1
1950,40,225,0,1
1950,40,230,0,1
1950,40,235,0,1
1950,40,325,0,1
1950,40,345,0,1
1950,40,350,0,1
1950,40,375,0,1
1950,40,380,0,1
1950,40,385,0,1
1950,40,395,0,1
1950,40,651,0,1
1950,40,652,0,1
1950,40,660,0,1
1950,40,710,0,1
1950,40,750,0,1
1950,40,770,0,1
1950,41,42,1,1
1950,41,70,1,1
1950,41,90,1,0
1950,41,91,1,0
1950,41,92,1,0
1950,41,93,1,0
1950,41,94,1,0
1950,41,95,1,0
1950,41,100,1,1
1950,41,101,1,0
1950,41,130,1,0
1950,41,135,1,0
1950,41,140,1,0
1950,41,145,1,0
1950,41,150,1,0
1950,41,155,1,0
1950,41,160,1,0
1950,41,165,1,0
1950,41,200,0,1
1950,41,210,0,1
1950,41,211,0,1
1950,41,212,0,1
1950,41,220,0,1
1950,41,225,0,1
1950,41,315,0,1
1950,41,325,0,1
1950,41,365,0,1
1950,41,652,0,1
1950,41,710,0,1
1950,41,713,0,1
1950,41,750,0,1
1950,41,780,0,1
1950,42,70,1,1
1950,42,90,1,0
1950,42,91,1,1
1950,42,92,1,0
1950,42,93,1,0
1950,42,94,1,0
1950,42,95,1,0
1950,42,100,1,0
1950,42,101,1,1
1950,42,130,1,0
1950,42,135,1,0
1950,42,140,1,0
1950,42,145,1,0
1950,42,150,1,0
1950,42,155,1,0
1950,42,160,1,0
1950,42,165,1,0
1950,42,200,0,1
1950,42,205,0,1
1950,42,210,0,1
1950,42,211,0,1
1950,42,220,0,1
1950,42,225,0,1
1950,42,230,0,1
1950,42,325,0,1
1950,42,339,0,1
1950,42,678,0,1
1950,42,713,0,1
1950,42,750,0,1
1950,42,780,0,1
1950,70,90,1,1
1950,70,91,1,1
1950,70,92,1,1
1950,70,93,1,1
1950,70,94,1,1
1950,70,95,1,1
1950,70,100,1,1
1950,70,101,1,1
1950,70,130,1,1
1950,70,135,1,1
1950,70,140,1,1
1950,70,145,1,0
1950,70,150,1,0
1950,70,155,1,0
1950,70,160,1,0
1950,70,165,1,1
1950,70,200,0,1
1950,70,210,0,1
1950,70,211,0,1
1950,70,212,0,1
1950,70,220,0,1
1950,70,225,0,1
1950,70,230,0,1
1950,70,235,0,1
1950,70,325,0,1
1950,70,339,0,1
1950,70,345,0,1
1950,70,350,0,1
1950,70,380,0,1
1950,70,385,0,1
1950,70,652,0,1
1950,70,660,0,1
1950,70,750,0,1
1950,70,900,0,1
1950,90,91,1,1
1950,90,92,1,1
1950,90,93,1,0
1950,90,94,1,0
1950,90,95,1,1
1950,90,100,1,0
1950,90,101,1,1
1950,90,130,1,0
1950,90,135,1,1
1950,90,140,1,0
1950,90,145,1,0
1950,90,150,1,0
1950,90,155,1,0
1950,90,160,1,0
1950,90,165,1,0
1950,90,200,0,1
1950,90,210,0,1
1950,90,211,0,1
1950,90,220,0,1
1950,90,225,0,1
1950,90,230,0,1
1950,90,315,0,1
1950,90,325,0,1
1950,90,380,0,1
1950,90,700,0,1
1950,90,713,0,1
1950,90,750,0,1
1950,91,92,1,1
1950,91,93,1,1
1950,91,94,1,1
1950,91,95,1,1
1950,91,100,1,0
1950,91,101,1,1
1950,91,130,1,0
1950,91,135,1,1
1950,91,140,1,0
1950,91,145,1,0
1950,91,150,1,0
1950,91,155,1,0
1950,91,160,1,0
1950,91,165,1,0
1950,91,200,0,1
1950,91,210,0,1
1950,91,211,0,1
1950,91,220,0,1
1950,91,225,0,1
1950,91,325,0,1
1950,91,713,0,1
1950,92,93,1,1
1950,92,94,1,1
1950,92,95,1,1
1950,92,100,1,0
1950,92,101,1,0
1950,92,130,1,0
1950,92,135,1,1
1950,92,140,1,0
1950,92,145,1,0
1950,92,150,1,0
1950,92,155,1,1
1950,92,160,1,0
1950,92,165,1,0
1950,92,200,0,1
1950,92,210,0,1
1950,92,211,0,1
1950,92,220,0,1
1950,92,225,0,1
1950,92,325,0,1
1950,92,380,0,1
1950,92,390,0,1
1950,92,450,0,1
1950,92,713,0,1
1950,93,94,1,1
1950,93,95,1,1
1950,93,100,1,1
1950,93,101,1,1
1950,93,130,1,0
1950,93,135,1,1
1950,93,140,1,0
1950,93,145,1,0
1950,93,150,1,0
1950,93,155,1,0
1950,93,160,1,0
1950,93,165,1,0
1950,93,200,0,1
1950,93,210,0,1
1950,93,211,0,1
1950,93,212,0,1
1950,93,220,0,1
1950,93,225,0,1
1950,93,325,0,1
1950,93,380,0,1
1950,93,560,0,1
1950,93,710,0,1
1950,93,713,0,1
1950,94,95,1,1
1950,94,100,1,1
1950,94,101,1,1
1950,94,130,1,1
1950,94,135,1,1
1950,94,140,1,0
1950,94,145,1,0
1950,94,150,1,0
1950,94,155,1,0
1950,94,160,1,0
1950,94,165,1,0
1950,94,200,0,1
1950,94,210,0,1
1950,94,211,0,1
1950,94,220,0,1
1950,94,225,0,1
1950,94,315,0,1
1950,94,325,0,1
1950,94,380,0,1
1950,94,560,0,1
1950,94,713,0,1
1950,94,750,0,1
1950,95,100,1,1
1950,95,101,1,1
1950,95,130,1,1
1950,95,135,1,0
1950,95,140,1,0
1950,95,145,1,0
1950,95,150,1,0
1950,95,155,1,1
1950,95,160,1,1
1950,95,165,1,0
1950,95,200,0,1
1950,95,210,0,1
1950,95,211,0,1
1950,95,220,0,1
1950,95,225,0,1
1950,95,325,0,1
1950,95,380,0,1
1950,95,390,0,1
1950,95,713,0,1
1950,95,840,0,1
1950,95,920,0,1
1950,100,101,1,1
1950,100,130,1,1
1950,100,135,1,1
1950,100,140,1,1
1950,100,145,1,0
1950,100,150,1,0
1950,100,155,1,1
1950,100,160,1,1
1950,100,165,1,1
1950,100,200,0,1
1950,100,210,0,1
1950,100,211,0,1
1950,100,212,0,1
1950,100,220,0,1
1950,100,225,0,1
1950,100,235,0,1
1950,100,325,0,1
1950,100,350,0,1
1950,100,375,0,1
1950,100,380,0,1
1950,100,713,0,1
1950,100,840,0,1
1950,101,130,1,1
1950,101,135,1,1
1950,101,140,1,1
1950,101,145,1,0
1950,101,150,1,0
1950,101,155,1,0
1950,101,160,1,1
1950,101,165,1,1
1950,101,200,0,1
1950,101,210,0,1
1950,101,211,0,1
1950,101,212,0,1
1950,101,220,0,1
1950,101,225,0,1
1950,101,230,0,1
1950,101,235,0,1
1950,101,315,0,1
1950,101,325,0,1
1950,101,375,0,1
1950,101,380,0,1
1950,101,385,0,1
1950,101,390,0,1
1950,101,560,0,1
1950,101,713,0,1
1950,101,840,0,1
1950,130,135,1,1
1950,130,140,1,0
1950,130,145,1,0
1950,130,150,1,0
1950,130,155,1,1
1950,130,160,1,1
1950,130,165,1,1
1950,130,200,0,1
1950,130,210,0,1
1950,130,211,0,1
1950,130,220,0,1
1950,130,225,0,1
1950,130,315,0,1
1950,130,325,0,1
1950,130,380,0,1
1950,130,700,0,1
1950,130,713,0,1
1950,135,140,1,1
1950,135,145,1,1
1950,135,150,1,0
1950,135,155,1,1
1950,135,160,1,1
1950,135,165,1,1
1950,135,200,0,1
1950,135,210,0,1
1950,135,211,0,1
1950,135,212,0,1
1950,135,220,0,1
1950,135,225,0,1
1950,135,230,0,1
1950,135,235,0,1
1950,135,315,0,1
1950,135,325,0,1
1950,135,380,0,1
1950,135,385,0,1
1950,135,390,0,1
1950,135,660,0,1
1950,135,713,0,1
1950,135,750,0,1
1950,135,780,0,1
1950,135,900,0,1
1950,140,145,1,1
1950,140,150,1,1
1950,140,155,1,1
1950,140,160,1,1
1950,140,165,1,1
1950,140,200,0,1
1950,140,205,0,1
1950,140,210,0,1
1950,140,211,0,1
1950,140,212,0,1
1950,140,220,0,1
1950,140,225,0,1
1950,140,230,0,1
1950,140,235,0,1
1950,140,290,0,1
1950,140,315,0,1
1950,140,325,0,1
1950,140,345,0,1
1950,140,350,0,1
1950,140,375,0,1
1950,140,380,0,1
1950,140,385,0,1
1950,140,390,0,1
1950,140,395,0,1
1950,140,560,0,1
1950,140,640,0,1
1950,140,645,0,1
1950,140,651,0,1
1950,140,652,0,1
1950,140,660,0,1
1950,140,666,0,1
1950,140,710,0,1
1950,140,712,0,1
1950,140,770,0,1
1950,140,800,0,1
1950,140,840,0,1
1950,140,900,0,1
1950,145,150,1,0
1950,145,155,1,1
1950,145,160,1,1
1950,145,165,1,0
1950,145,200,0,1
1950,145,210,0,1
1950,145,211,0,1
1950,145,220,0,1
1950,145,225,0,1
1950,145,230,0,1
1950,145,325,0,1
1950,145,380,0,1
1950,145,385,0,1
1950,145,713,0,1
1950,150,155,1,1
1950,150,160,1,1
1950,150,165,1,1
1950,150,200,0,1
1950,150,205,0,1
1950,150,210,0,1
1950,150,211,0,1
1950,150,212,0,1
1950,150,220,0,1
1950,150,225,0,1
1950,150,230,0,1
1950,150,325,0,1
1950,150,345,0,1
1950,150,380,0,1
1950,150,385,0,1
1950,150,713,0,1
1950,150,750,0,1
1950,155,160,1,1
1950,155,165,1,1
1950,155,200,0,1
1950,155,210,0,1
1950,155,211,0,1
1950,155,212,0,1
1950,155,220,0,1
1950,155,225,0,1
1950,155,230,0,1
1950,155,235,0,1
1950,155,290,0,1
1950,155,325,0,1
1950,155,350,0,1
1950,155,380,0,1
1950,155,385,0,1
1950,155,390,0,1
1950,155,651,0,1
1950,155,660,0,1
1950,155,713,0,1
1950,155,750,0,1
1950,155,900,0,1
1950,160,165,1,1
1950,160,200,0,1
1950,160,205,0,1
1950,160,210,0,1
1950,160,211,0,1
1950,160,212,0,1
1950,160,220,0,1
1950,160,225,0,1
1950,160,230,0,1
1950,160,235,0,1
1950,160,290,0,1
1950,160,310,0,1
1950,160,315,0,1
1950,160,325,0,1
1950,160,345,0,1
1950,160,350,0,1
1950,160,360,0,1
1950,160,365,0,1
1950,160,375,0,1
1950,160,380,0,1
1950,160,385,0,1
1950,160,390,0,1
1950,160,560,0,1
1950,160,660,0,1
1950,160,666,0,1
1950,160,670,0,1
1950,160,750,0,1
1950,160,770,0,1
1950,160,850,0,1
1950,165,200,0,1
1950,165,205,0,1
1950,165,210,0,1
1950,165,211,0,1
1950,165,212,0,1
1950,165,220,0,1
1950,165,225,0,1
1950,165,230,0,1
1950,165,290,0,1
1950,165,315,0,1
1950,165,325,0,1
1950,165,345,0,1
1950,165,350,0,1
1950,165,375,0,1
1950,165,380,0,1
1950,165,390,0,1
1950,165,560,0,1
1950,165,666,0,1
1950,165,670,0,1
1950,165,710,0,1
1950,165,713,0,1
1950,165,750,0,1
1950,165,780,0,1
1950,165,900,0,1
1950,200,205,0,1
1950,200,210,1,1
1950,200,211,1,1
1950,200,212,1,1
1950,200,220,1,1
1950,200,225,0,1
1950,200,230,0,1
1950,200,235,1,1
1950,200,290,0,1
1950,200,310,0,1
1950,200,315,0,1
1950,200,325,1,1
1950,200,345,0,1
1950,200,350,0,1
1950,200,355,0,1
1950,200,360,0,1
1950,200,365,1,1
1950,200,375,0,1
1950,200,380,0,1
1950,200,385,1,1
1950,200,390,1,1
1950,200,395,1,1
1950,200,530,0,1
1950,200,560,0,1
1950,200,630,0,1
1950,200,640,0,1
1950,200,645,1,1
1950,200,651,1,1
1950,200,652,0,1
1950,200,660,0,1
1950,200,663,1,0
1950,200,666,0,1
1950,200,670,0,1
1950,200,710,0,1
1950,200,713,0,1
1950,200,732,0,1
1950,200,750,0,1
1950,200,770,0,1
1950,200,775,0,1
1950,200,780,1,1
1950,200,800,0,1
1950,200,840,0,1
1950,200,850,0,1
1950,200,900,0,1
1950,200,920,0,1
1950,205,210,0,1
1950,205,211,0,1
1950,205,212,0,1
1950,205,220,0,1
1950,205,225,0,1
1950,205,230,0,1
1950,205,235,0,1
1950,205,290,0,1
1950,205,315,0,1
1950,205,325,0,1
1950,205,350,0,1
1950,205,375,0,1
1950,205,380,0,1
1950,205,385,0,1
1950,205,390,0,1
1950,205,395,0,1
1950,205,560,0,1
1950,205,630,0,1
1950,205,640,0,1
1950,205,645,0,1
1950,205,666,0,1
1950,205,710,0,1
1950,205,750,0,1
1950,205,780,0,1
1950,205,840,0,1
1950,205,850,0,1
1950,205,900,0,1
1950,205,920,0,1
1950,210,211,1,1
1950,210,212,1,1
1950,210,220,1,1
1950,210,225,0,1
1950,210,230,0,1
1950,210,235,1,1
1950,210,290,0,1
1950,210,310,0,1
1950,210,315,0,1
1950,210,325,1,1
1950,210,345,0,1
1950,210,350,0,1
1950,210,360,0,1
1950,210,375,0,1
1950,210,380,0,1
1950,210,385,1,1
1950,210,390,1,1
1950,210,395,1,1
1950,210,530,0,1
1950,210,560,0,1
1950,210,630,0,1
1950,210,640,0,1
1950,210,645,0,1
1950,210,651,0,1
1950,210,652,0,1
1950,210,660,0,1
1950,210,666,0,1
1950,210,670,0,1
1950,210,710,0,1
1950,210,713,0,1
1950,210,732,0,1
1950,210,750,0,1
1950,210,770,0,1
1950,210,775,0,1
1950,210,780,0,1
1950,210,800,0,1
1950,210,840,0,1
1950,210,850,0,1
1950,210,900,0,1
1950,210,920,0,1
1950,211,212,1,1
1950,211,220,1,1
1950,211,225,0,1
1950,211,230,0,1
1950,211,235,1,1
1950,211,290,0,1
1950,211,310,0,1
1950,211,315,0,1
1950,211,325,1,1
1950,211,345,0,1
1950,211,350,0,1
1950,211,360,0,1
1950,211,365,0,1
1950,211,375,0,1
1950,211,380,0,1
1950,211,385,1,1
1950,211,390,1,1
1950,211,395,1,1
1950,211,530,0,1
1950,211,560,0,1
1950,211,630,0,1
1950,211,640,0,1
1950,211,645,0,1
1950,211,651,0,1
1950,211,652,0,1
1950,211,660,0,1
1950,211,666,0,1
1950,211,670,0,1
1950,211,710,0,1
1950,211,750,0,1
1950,211,770,0,1
1950,211,775,0,1
1950,211,780,0,1
1950,211,800,0,1
1950,211,840,0,1
1950,211,850,0,1
1950,211,900,0,1
1950,211,920,0,1
1950,212,220,1,1
1950,212,225,0,1
1950,212,230,0,1
1950,212,235,1,1
1950,212,290,0,1
1950,212,310,0,1
1950,212,315,0,1
1950,212,325,1,1
1950,212,345,0,1
1950,212,350,0,1
1950,212,365,0,1
1950,212,375,0,1
1950,212,380,0,1
1950,212,385,1,1
1950,212,390,1,1
1950,212,395,1,0
1950,212,560,0,1
1950,212,630,0,1
1950,212,640,0,1
1950,212,645,0,1
1950,212,651,0,1
1950,212,652,0,1
1950,212,660,0,1
1950,212,666,0,1
1950,212,670,0,1
1950,212,710,0,1
1950,212,750,0,1
1950,212,770,0,1
1950,212,780,0,1
1950,212,840,0,1
1950,212,850,0,1
1950,212,900,0,1
1950,212,920,0,1
1950,220,225,0,1
1950,220,230,0,1
1950,220,235,1,1
1950,220,290,0,1
1950,220,310,0,1
1950,220,315,0,1
1950,220,325,1,1
1950,220,345,0,1
1950,220,350,0,1
1950,220,355,0,1
1950,220,360,0,1
1950,220,365,1,1
1950,220,375,0,1
1950,220,380,0,1
1950,220,385,1,1
1950,220,390,1,1
1950,220,395,1,1
1950,220,530,0,1
1950,220,560,0,1
1950,220,630,0,1
1950,220,640,0,1
1950,220,645,0,1
1950,220,651,0,1
1950,220,652,0,1
1950,220,660,0,1
1950,220,666,0,1
1950,220,670,0,1
1950,220,710,0,1
1950,220,750,0,1
1950,220,770,0,1
1950,220,775,0,1
1950,220,780,0,1
1950,220,800,0,1
1950,220,840,0,1
1950,220,850,0,1
1950,220,900,0,1
1950,220,920,0,1
1950,225,230,0,1
1950,225,235,0,1
1950,225,290,0,1
1950,225,310,0,1
1950,225,315,0,1
1950,225,325,0,1
1950,225,345,0,1
1950,225,350,0,1
1950,225,355,0,1
1950,225,360,0,1
1950,225,365,0,1
1950,225,375,0,1
1950,225,380,0,1
1950,225,385,0,1
1950,225,390,0,1
1950,225,395,0,1
1950,225,530,0,1
1950,225,560,0,1
1950,225,630,0,1
1950,225,640,0,1
1950,225,645,0,1
1950,225,651,0,1
1950,225,652,0,1
1950,225,660,0,1
1950,225,666,0,1
1950,225,670,0,1
1950,225,710,0,1
1950,225,750,0,1
1950,225,770,0,1
1950,225,780,0,1
1950,225,800,0,1
1950,225,840,0,1
1950,225,850,0,1
1950,225,900,0,1
1950,225,920,0,1
1950,230,235,1,1
1950,230,325,0,1
1950,230,375,0,1
1950,230,380,0,1
1950,230,385,0,1
1950,230,390,0,1
1950,230,395,0,1
1950,230,560,0,1
1950,230,630,0,1
1950,230,645,0,1
1950,230,651,0,1
1950,230,652,0,1
1950,230,670,0,1
1950,230,750,0,1
1950,230,770,0,1
1950,230,840,0,1
1950,230,900,0,1
1950,235,290,0,1
1950,235,315,0,1
1950,235,325,1,1
1950,235,350,0,1
1950,235,365,0,1
1950,235,380,0,1
1950,235,385,1,1
1950,235,390,1,1
1950,235,395,1,1
1950,235,560,0,1
1950,235,630,0,1
1950,235,651,0,1
1950,235,670,0,1
1950,235,750,0,1
1950,235,770,0,1
1950,235,850,0,1
1950,235,900,0,1
1950,290,310,1,1
1950,290,315,1,1
1950,290,325,0,1
1950,290,339,0,1
1950,290,355,1,1
1950,290,360,1,1
1950,290,365,1,1
1950,290,375,0,1
