year,nation
1950,150
1950,155
1950,339
1950,210
1950,211
1950,450
1950,666
1950,310
1950,663
1950,315
1950,660
1950,775
1950,130
1950,750
1950,135
1950,165
1950,212
1950,230
1950,93
1950,731
1950,92
1950,20
1950,790
1950,95
1950,42
1950,40
1950,41
1950,678
1950,345
1950,2
1950,652
1950,325
1950,365
1950,360
1950,235
1950,200
1950,700
1950,145
1950,205
1950,770
1950,140
1950,850
1950,560
1950,670
1950,530
1950,225
1950,712
1950,710
1950,380
1950,651
1950,385
1950,70
1950,91
1950,90
1950,100
1950,101
1950,160
1950,94
1950,220
1950,900
1950,780
1950,395
1950,732
1950,840
1950,713
1950,630
1950,640
1950,355
1950,390
1950,645
1950,350
1950,920
1950,800
1950,375
1950,290
1951,150
1951,620
1951,155
1951,339
1951,210
1951,211
1951,450
1951,666
1951,310
1951,663
1951,315
1951,660
1951,775
1951,130
1951,750
1951,135
1951,165
1951,212
1951,230
1951,93
1951,731
1951,92
1951,20
1951,790
1951,95
1951,42
1951,40
1951,41
1951,678
1951,345
1951,2
1951,652
1951,325
1951,365
1951,360
1951,235
1951,200
1951,700
1951,145
1951,205
1951,770
1951,140
1951,850
1951,560
1951,670
1951,530
1951,225
1951,712
1951,710
1951,380
1951,651
1951,385
1951,70
1951,91
1951,90
1951,100
1951,101
1951,160
1951,94
1951,220
1951,900
1951,780
1951,395
1951,732
1951,840
1951,713
1951,630
1951,640
1951,355
1951,390
1951,645
1951,350
1951,920
1951,800
1951,375
1951,290
1952,740
1952,150
1952,620
1952,155
1952,339
1952,210
1952,211
1952,450
1952,666
1952,310
1952,663
1952,315
1952,660
1952,775
1952,130
1952,750
1952,135
1952,165
1952,212
1952,230
1952,93
1952,731
1952,92
1952,20
1952,790
1952,95
1952,42
1952,40
1952,41
1952,678
1952,345
1952,2
1952,652
1952,325
1952,365
1952,360
1952,235
1952,200
1952,700
1952,145
1952,205
1952,770
1952,140
1952,850
1952,560
1952,670
1952,530
1952,225
1952,712
1952,710
1952,380
1952,651
1952,385
1952,70
1952,91
1952,90
1952,100
1952,101
1952,160
1952,94
1952,220
1952,900
1952,780
1952,395
1952,732
1952,840
1952,713
1952,630
1952,640
1952,355
1952,390
1952,645
1952,350
1952,920
1952,800
1952,375
1952,290
1953,740
1953,150
1953,620
1953,155
1953,339
1953,210
1953,211
1953,450
1953,666
1953,310
1953,663
1953,315
1953,660
1953,775
1953,130
1953,750
1953,135
1953,165
1953,212
1953,230
1953,93
1953,731
1953,92
1953,20
1953,790
1953,95
1953,42
1953,40
1953,41
1953,678
1953,345
1953,2
1953,652
1953,325
1953,811
1953,812
1953,365
1953,360
1953,235
1953,200
1953,700
1953,145
1953,205
1953,770
1953,140
1953,850
1953,560
1953,670
1953,530
1953,225
1953,712
1953,710
1953,380
1953,651
1953,385
1953,70
1953,91
1953,90
1953,100
1953,101
1953,160
1953,94
1953,220
1953,900
1953,780
1953,395
1953,732
1953,840
1953,713
1953,630
1953,640
1953,355
1953,390
1953,645
1953,350
1953,920
1953,800
1953,375
1953,290
1954,740
1954,150
1954,620
1954,155
1954,339
1954,210
1954,211
1954,450
1954,666
1954,310
1954,663
1954,315
1954,660
1954,775
1954,130
1954,750
1954,135
1954,165
1954,212
1954,230
1954,93
1954,731
1954,92
1954,20
1954,790
1954,95
1954,42
1954,40
1954,41
1954,678
1954,345
1954,2
1954,652
1954,325
1954,811
1954,812
1954,365
1954,360
1954,817
1954,235
1954,200
1954,700
1954,145
1954,205
1954,770
1954,140
1954,850
1954,560
1954,670
1954,530
1954,225
1954,712
1954,710
1954,380
1954,651
1954,385
1954,265
1954,70
1954,91
1954,90
1954,100
1954,101
1954,160
1954,94
1954,220
1954,900
1954,780
1954,395
1954,732
1954,840
1954,713
1954,630
1954,640
1954,355
1954,390
1954,645
1954,816
1954,350
1954,920
1954,800
1954,375
1954,290
1955,740
1955,150
1955,620
1955,155
1955,339
1955,210
1955,211
1955,450
1955,666
1955,310
1955,663
1955,315
1955,660
1955,775
1955,130
1955,750
1955,135
1955,165
1955,212
1955,230
1955,93
1955,255
1955,731
1955,92
1955,20
1955,790
1955,95
1955,42
1955,40
1955,41
1955,678
1955,345
1955,2
1955,652
1955,325
1955,811
1955,812
1955,365
1955,360
1955,817
1955,235
1955,200
1955,700
1955,145
1955,205
1955,770
1955,140
1955,850
1955,300
1955,670
1955,530
1955,225
1955,712
1955,710
1955,380
1955,651
1955,385
1955,265
1955,70
1955,91
1955,90
1955,100
1955,101
1955,160
1955,94
1955,220
1955,900
1955,780
1955,395
1955,732
1955,840
1955,630
1955,713
1955,560
1955,640
1955,355
1955,390
1955,645
1955,816
1955,350
1955,920
1955,800
1955,375
1955,290
1956,212
1956,210
1956,211
1956,666
1956,663
1956,660
1956,130
1956,135
1956,90
1956,225
1956,20
1956,160
1956,345
1956,811
1956,812
1956,816
1956,817
1956,678
1956,670
1956,712
1956,710
1956,265
1956,530
1956,920
1956,375
1956,290
1956,310
1956,700
1956,315
1956,390
1956,395
1956,790
1956,365
1956,360
1956,300
1956,380
1956,385
1956,100
1956,101
1956,900
1956,780
1956,840
1956,640
1956,645
1956,620
1956,339
1956,625
1956,450
1956,255
1956,850
1956,731
1956,2
1956,652
1956,651
1956,630
1956,750
1956,560
1956,91
1956,165
1956,93
1956,92
1956,95
1956,94
1956,220
1956,740
1956,150
1956,155
1956,600
1956,235
1956,230
1956,42
1956,40
1956,41
1956,325
1956,775
1956,200
1956,145
1956,205
1956,770
1956,140
1956,713
1956,616
1956,70
1956,732
1956,355
1956,350
1956,800
1957,212
1957,210
1957,211
1957,666
1957,663
1957,660
1957,130
1957,135
1957,90
1957,225
1957,20
1957,160
1957,345
1957,811
1957,812
1957,816
1957,817
1957,678
1957,670
1957,712
1957,710
1957,265
1957,530
1957,920
1957,375
1957,820
1957,290
1957,310
1957,700
1957,315
1957,390
1957,395
1957,790
1957,365
1957,360
1957,300
1957,380
1957,385
1957,100
1957,101
1957,900
1957,780
1957,840
1957,640
1957,645
1957,620
1957,339
1957,625
1957,450
1957,452
1957,255
1957,850
1957,731
1957,2
1957,652
1957,651
1957,630
1957,750
1957,560
1957,91
1957,165
1957,93
1957,92
1957,95
1957,94
1957,220
1957,740
1957,150
1957,155
1957,600
1957,235
1957,230
1957,42
1957,40
1957,41
1957,325
1957,775
1957,200
1957,145
1957,205
1957,770
1957,140
1957,713
1957,616
1957,70
1957,732
1957,355
1957,350
1957,800
1958,212
1958,210
1958,211
1958,666
1958,663
1958,660
1958,130
1958,135
1958,90
1958,225
1958,20
1958,160
1958,345
1958,811
1958,812
1958,816
1958,817
1958,678
1958,670
1958,712
1958,710
1958,265
1958,530
1958,920
1958,375
1958,820
1958,290
1958,310
1958,700
1958,315
1958,390
1958,395
1958,790
1958,365
1958,360
1958,300
1958,380
1958,385
1958,100
1958,101
1958,900
1958,780
1958,840
1958,640
1958,645
1958,438
1958,620
1958,339
1958,625
1958,450
1958,452
1958,255
1958,850
1958,731
1958,2
1958,652
1958,651
1958,630
1958,750
1958,560
1958,91
1958,165
1958,93
1958,92
1958,95
1958,94
1958,220
1958,740
1958,150
1958,155
1958,600
1958,235
1958,230
1958,42
1958,40
1958,41
1958,325
1958,775
1958,200
1958,145
1958,205
1958,770
1958,140
1958,713
1958,616
1958,70
1958,732
1958,355
1958,350
1958,800
1959,212
1959,210
1959,211
1959,666
1959,663
1959,660
1959,130
1959,135
1959,90
1959,225
1959,20
1959,160
1959,345
1959,811
1959,812
1959,816
1959,817
1959,678
1959,670
1959,712
1959,710
1959,265
1959,530
1959,920
1959,375
1959,820
1959,290
1959,310
1959,700
1959,315
1959,390
1959,395
1959,790
1959,365
1959,360
1959,300
1959,380
1959,385
1959,100
1959,101
1959,900
1959,780
1959,840
1959,640
1959,645
1959,438
1959,620
1959,339
1959,625
1959,450
1959,452
1959,255
1959,850
1959,731
1959,2
1959,651
1959,630
1959,750
1959,560
1959,91
1959,165
1959,93
1959,92
1959,95
1959,94
1959,220
1959,740
1959,150
1959,155
1959,600
1959,235
1959,230
1959,42
1959,40
1959,41
1959,325
1959,775
1959,200
1959,145
1959,205
1959,770
1959,140
1959,713
1959,616
1959,70
1959,732
1959,355
1959,350
1959,800
1960,212
1960,210
1960,211
1960,666
1960,663
1960,660
1960,130
1960,135
1960,90
1960,490
1960,225
1960,20
1960,160
1960,345
1960,811
1960,812
1960,816
1960,817
1960,678
1960,670
1960,712
1960,710
1960,265
1960,530
1960,920
1960,375
1960,820
1960,290
1960,310
1960,700
1960,315
1960,390
1960,395
1960,790
1960,520
1960,365
1960,360
1960,580
1960,300
1960,380
1960,385
1960,100
1960,101
1960,900
1960,780
1960,840
1960,640
1960,645
1960,438
1960,439
1960,436
1960,437
1960,434
1960,435
1960,432
1960,433
1960,620
1960,339
1960,625
1960,450
1960,452
1960,255
1960,850
1960,731
1960,2
1960,651
1960,630
1960,750
1960,560
1960,461
1960,91
1960,165
1960,93
1960,92
1960,95
1960,94
1960,220
1960,740
1960,150
1960,155
1960,600
1960,235
1960,230
1960,42
1960,40
1960,41
1960,325
1960,775
1960,200
1960,145
1960,205
1960,770
1960,140
1960,713
1960,350
1960,616
1960,70
1960,484
1960,483
1960,482
1960,481
1960,732
1960,355
1960,471
1960,352
1960,475
1960,800
1961,212
1961,210
1961,211
1961,666
1961,663
1961,660
1961,130
1961,135
1961,90
1961,490
1961,225
1961,690
1961,20
1961,160
1961,345
1961,811
1961,812
1961,816
1961,817
1961,678
1961,670
1961,712
1961,710
1961,265
1961,530
1961,920
1961,437
1961,375
1961,820
1961,290
1961,310
1961,700
1961,315
1961,390
1961,395
1961,790
1961,520
1961,365
1961,360
1961,580
1961,300
1961,380
1961,385
1961,100
1961,101
1961,900
1961,780
1961,840
1961,640
1961,645
1961,438
1961,439
1961,436
1961,510
1961,434
1961,435
1961,432
1961,433
1961,620
1961,339
1961,625
1961,450
1961,451
1961,452
1961,255
1961,850
1961,731
1961,2
1961,652
1961,651
1961,630
1961,750
1961,560
1961,461
1961,91
1961,165
1961,93
1961,92
1961,95
1961,94
1961,220
1961,740
1961,150
1961,155
1961,600
1961,235
1961,230
1961,42
1961,40
1961,41
1961,325
1961,775
1961,200
1961,145
1961,205
1961,770
1961,140
1961,713
1961,350
1961,616
1961,70
1961,484
1961,483
1961,482
1961,481
1961,732
1961,355
1961,471
1961,352
1961,475
1961,800
1962,212
1962,210
1962,211
1962,666
1962,663
1962,660
1962,130
1962,135
1962,90
1962,490
1962,225
1962,690
1962,20
1962,95
1962,345
1962,811
1962,812
1962,816
1962,817
1962,678
1962,670
1962,712
1962,710
1962,265
1962,51
1962,52
1962,530
1962,920
1962,437
1962,375
1962,820
1962,290
1962,310
1962,700
